Borough,VM1,VM2,VM3,VM4,VM5,VM6,VM7,PU5,PO75,ENG,RENT,BAME,TEMP,VM1_q,VM2_q,VM3_q,VM4_q,VM5_q,VM6_q,PU5_q,PO75_q,ENG_q,RENT_q,BAME_q,TEMP_q,VM7_q,LSOA11CD,LSOA11NM,PM25_pct,NO2_pct,Poll_Index,Poll_q
Croydon,7.997557997557998,19.899999999999999,10.867659568786623,30.257009506225582,0.016491666754037,45.178027607688001,92,8.020000000000000,3.670000000000000,2.300000000000000,5.120000000000000,34.240000000000002,17.769683366100921,2,2,5,5,5,2,5,1,3,2,1,1,5.000,E01001034,Croydon 031B,0.809090909090909,0.859090909090909,0.834090909090909,5.000000000000000
Croydon,9.022957821676455,24.635999999999999,10.974229812622070,28.932689666748047,0.013358148874230,28.430965203493031,13,7.300000000000000,6.170000000000000,2.030000000000000,9.510000000000000,48.630000000000003,18.024394499052981,2,2,5,5,4,4,4,3,3,3,3,3,1.000,E01001035,Croydon 027A,0.827272727272727,0.827272727272727,0.827272727272727,5.000000000000000
Croydon,4.005167958656330,31.911000000000001,12.882670402526855,38.730289459228509,0.007273332094275,69.770460926662054,56,4.430000000000000,9.850000000000000,0.950000000000000,3.950000000000000,41.070000000000000,17.769683366100921,1,1,5,5,2,1,1,5,1,1,2,1,3.000,E01001036,Croydon 029A,0.959090909090909,0.945454545454545,0.952272727272727,5.000000000000000
Croydon,13.001485884101042,14.749000000000001,15.623419761657715,62.292339324951165,0.026628190672534,17.610406568421954,100,9.320000000000000,4.040000000000000,1.870000000000000,18.620000000000001,43.060000000000002,18.112179664784097,3,3,5,5,5,5,5,2,3,4,2,4,5.000,E01001037,Croydon 029B,0.990909090909091,0.986363636363636,0.988636363636364,5.000000000000000
Croydon,8.991683991683992,32.011000000000003,10.229519844055176,24.480339050292969,0.014163764633427,44.493987014006677,54,6.310000000000000,3.260000000000000,1.690000000000000,12.650000000000000,39.759999999999998,18.024394499052981,2,1,2,3,4,2,3,1,2,3,2,3,3.000,E01001038,Croydon 029C,0.381818181818182,0.400000000000000,0.390909090909091,2.000000000000000
Croydon,4.976775049767750,42.478999999999999,10.069760322570801,23.476350784301754,0.009199658164045,39.444088333739082,66,6.230000000000000,7.500000000000000,0.730000000000000,3.520000000000000,33.329999999999998,17.769683366100921,1,1,2,2,3,3,3,4,1,1,1,1,4.000,E01001039,Croydon 029D,0.304545454545455,0.304545454545455,0.304545454545455,2.000000000000000
Croydon,10.026954177897574,13.664000000000000,10.370710372924805,25.252910614013672,0.018323411350046,36.411222824578019,100,7.510000000000000,3.200000000000000,2.740000000000000,8.190000000000000,40.500000000000000,17.934610759989958,2,3,3,3,5,3,5,1,3,2,2,2,5.000,E01001040,Croydon 029E,0.463636363636364,0.472727272727273,0.468181818181818,3.000000000000000
Croydon,11.023142509135200,14.936999999999999,10.079799652099609,23.515880584716797,0.023292158593965,49.396232219107510,100,6.910000000000000,3.020000000000000,3.350000000000000,14.949999999999999,50.869999999999997,17.954383753167015,3,3,2,2,5,2,4,1,4,3,3,2,5.000,E01001041,Croydon 031C,0.313636363636364,0.313636363636364,0.313636363636364,2.000000000000000
Croydon,19.012707722385141,4.706000000000000,12.271289825439453,35.925910949707031,0.016235838245710,16.016770353234229,100,7.870000000000000,1.700000000000000,5.430000000000000,20.800000000000001,53.060000000000002,17.998127750159234,4,5,5,5,4,5,5,1,5,4,3,3,5.000,E01001042,Croydon 024B,0.936363636363636,0.927272727272727,0.931818181818182,5.000000000000000
Croydon,16.991452991452991,6.319000000000000,10.559749603271484,25.482429504394531,0.008493472402401,8.138878256534699,100,8.960000000000004,0.960000000000000,3.470000000000000,20.960000000000001,56.320000000000000,17.998127750159234,4,5,4,3,3,5,5,1,4,4,4,3,5.000,E01001043,Croydon 027B,0.686363636363636,0.522727272727273,0.604545454545454,4.000000000000000
